"Quals 61,342,3489,1539,5063,2641,4452,51,47"
"Quals 1,5063,4083,4451,4073,1051,4823,12,35"
"Quals 2,1758,2614,3976,2641,4576,2974,90,38"
"Quals 3,2815,4243,343,2059,4468,3571,29,90"
"Quals 4,4901,1287,4582,4748,4074,1539,12,25"
"Quals 5,2187,900,3490,5130,5317,4075,96,10"
"Quals 6,3196,346,5020,1311,4902,4533,5,5"
"Quals 7,2655,1225,5337,5327,3459,342,50,27"
"Quals 8,1772,4267,1413,4935,2200,4452,95,116"
"Quals 9,1398,4847,4516,1648,4489,3140,1,30"
"Quals 10,4505,4976,1024,1553,3489,1293,60,64"
"Quals 11,3824,1319,1876,4965,5180,1261,125,95"
"Quals 12,281,4074,1311,343,2641,2187,30,52"
"Quals 13,4267,2815,4748,5327,4576,4451,12,41"
"Quals 14,4489,4935,1758,4902,1287,5317,22,52"
"Quals 15,4075,3196,2974,4516,1539,1413,37,40"
"Quals 16,1051,2059,1319,1398,1293,1648,100,36"
"Quals 17,4452,3824,1225,4901,4976,4823,125,75"
"Quals 18,3459,3140,1772,1876,900,1553,60,65"
"Quals 19,4083,5020,4965,1024,4243,2655,6,85"
"Quals 20,5337,2200,3976,3489,5180,3571,86,75"
"Quals 21,1261,346,4073,3490,4468,4847,180,31"
"Quals 22,4582,342,2614,4505,4533,5130,42,25"
"Quals 23,5063,900,2059,281,1413,3824,86,115"
"Quals 24,1311,4576,1024,4823,1225,1539,96,51"
"Quals 25,2815,4075,4901,2200,1758,2655,77,90"
"Quals 26,1293,5327,343,4083,3196,4935,83,27"
"Quals 27,5020,5180,2641,3490,5317,4451,12,121"
"Quals 28,5063,4902,3489,4267,4965,1648,44,90"
"Quals 29,281,4073,3571,4582,4505,1876,46,60"
"Quals 30,1261,4074,4243,2614,5130,4489,57,47"
"Quals 31,4847,1051,1772,1287,2974,1319,65,42"
"Quals 32,4976,4748,4533,4468,3976,3140,120,28"
"Quals 33,342,5337,1398,2187,346,1553,6,107"
"Quals 34,4452,4516,5020,3459,4073,4576,36,89"
